motif	T.BL	T.L	T.BL.adj	T.L.adj
BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)/Homer	0.00146844000568171	8.66793128327929e-14	0.00475018648192783	2.33713110156567e-13
BMYB(HTH)/Hela-BMYB-ChIP-Seq(GSE27030)/Homer	0.000134609240812091	1.65337653777861e-17	0.000979955273112026	1.30832404293785e-16
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer	0.216551850283526	1.03425683078841e-14	0.261009514911269	3.43246203931571e-14
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer	0.118670962024016	1.98089934726904e-11	0.157650475097598	3.08139898464073e-11
Brn1(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer	8.62488844825593e-06	5.96286088054857e-21	0.000130810808131882	1.3565508503248e-19
Brn2(POU,Homeobox)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer	0.000100564872938958	6.63556428311784e-15	0.000813458083328457	2.344995533063e-14
bZIP:IRF(bZIP,IRF)/Th17-BatF-ChIP-Seq(GSE39756)/Homer	0.0609082721180252	5.19509042340661e-13	0.0886824442038447	1.1460684328e-12
CArG(MADS)/PUER-Srf-ChIP-Seq(Sullivan_et_al.)/Homer	0.0361028242593365	6.47032948350418e-21	0.0572827700147915	1.38541172470325e-19
Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)/Homer	1.04074889844291e-05	4.97281100102536e-10	0.000151533039613288	6.2417351874939e-10
CDX4(Homeobox)/ZebrafishEmbryos-Cdx4.Myc-ChIP-Seq(GSE48254)/Homer	1.04837977324876e-07	9.13116349958747e-15	6.77195697228951e-06	3.10630234939237e-14
CEBP:AP1(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	0.0116668967328123	6.34994947575212e-11	0.0245476902355126	9.13589568843388e-11
CEBP(bZIP)/ThioMac-CEBPb-ChIP-Seq(GSE21512)/Homer	0.00040297104367836	6.67671966855781e-12	0.00195575279865231	1.15729807588335e-11
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	1.22089849712014e-06	1.5861291612027e-20	3.4185157919364e-05	3.0386895509357e-19
Chop(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	0.00944860243965484	3.45668282260512e-13	0.0209947651662549	7.91341224797651e-13
CHR(?)/Hela-CellCycle-Expression/Homer	4.86560813538475e-07	1.59756957909681e-18	1.77108136128005e-05	1.71033919644482e-17
c-Jun-CRE(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	0.0888953843897194	4.1712706687511e-09	0.124453538145607	4.835485743393e-09
CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)/Homer	0.00550816971338935	6.50204921920683e-13	0.0135471201059035	1.4004413702907e-12
c-Myc(bHLH)/LNCAP-cMyc-ChIP-Seq(Unpublished)/Homer	0.0385744301255966	1.22727065672601e-09	0.0607839505009401	1.50412969376521e-09
c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	0.00055387102012611	2.48097896940906e-11	0.00238875812737937	3.79443842380209e-11
COUP-TFII(NR)/Artia-Nr2f2-ChIP-Seq(GSE46497)/Homer	4.05550411583211e-05	7.63183844202103e-11	0.000461313593175902	1.08092964704111e-10
CRE(bZIP)/Promoter/Homer	0.205102736632485	4.71903141550708e-07	0.251371704155638	4.89381035682216e-07
CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)/Homer	0.00145229429514073	8.18539671884831e-20	0.00475018648192783	1.20724077231156e-18
CTCF-SatelliteElement(Zf?)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	0.137538048034201	3.73546372668048e-18	0.179485802910976	3.77696887919915e-17
CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	0.214739334501398	1.0444860972172e-14	0.260550392528362	3.43246203931571e-14
Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)/Homer	0.00178667037692045	1.61789905845573e-08	0.00541956680999202	1.77384113637918e-08
DMRT1(DM)/Testis-DMRT1-ChIP-Seq(GSE64892)/Homer	0.000257737863387065	3.99601681705634e-13	0.00151039431975633	9.03447280377956e-13
DMRT6(DM)/Testis-DMRT6-ChIP-Seq(GSE60440)/Homer	0.000328424567023066	2.47046864730439e-13	0.00181131124843025	5.95530190476025e-13
DUX4(Homeobox)/Myoblasts-DUX4.V5-ChIP-Seq(GSE75791)/Homer	0.00130479504734367	1.95219382344006e-09	0.00443874203021584	2.3298313171547e-09
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	0.000213781521191368	3.49192871661516e-10	0.00129694122856096	4.50731224414156e-10
E2A(bHLH)/proBcell-E2A-ChIP-Seq(GSE21978)/Homer	0.00158278834790848	2.24125599278399e-14	0.00493742522621814	6.79847651144476e-14
E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)/Homer	0.82687179484884	1.06300794315159e-05	0.855060606036869	1.07481914251994e-05
E2F3(E2F)/MEF-E2F3-ChIP-Seq(GSE71376)/Homer	0.78519770360726	5.18395195725301e-08	0.826046139055036	5.58271749242632e-08
E2F4(E2F)/K562-E2F4-ChIP-Seq(GSE31477)/Homer	0.488055855142447	3.38023790293636e-05	0.538340397793487	3.39891325046639e-05
E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)/Homer	0.937992835996051	8.7865115795172e-07	0.951056803071205	9.00926821111059e-07
E2F7(E2F)/Hela-E2F7-ChIP-Seq(GSE32673)/Homer	0.960582500045957	1.39542566286828e-06	0.968565180101741	1.4227869503755e-06
E2F(E2F)/Hela-CellCycle-Expression/Homer	0.905191088019145	0.00156907747975123	0.925532460783621	0.00156907747975123
EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)/Homer	0.102927285648569	1.92384692389535e-11	0.141379365947469	3.00549476522708e-11
EBF(EBF)/proBcell-EBF-ChIP-Seq(GSE21978)/Homer	0.0942246427150213	2.20509544394723e-11	0.130907518886518	3.40107941354573e-11
EBNA1(EBV-virus)/Raji-EBNA1-ChIP-Seq(GSE30709)/Homer	0.0127361589360483	7.00684595589439e-14	0.0258495202243271	1.93219085450421e-13
E-box(bHLH)/Promoter/Homer	0.00152164631950588	7.07954210382721e-14	0.00485859000263282	1.93755889157376e-13
Egr1(Zf)/K562-Egr1-ChIP-Seq(GSE32465)/Homer	0.91600273681299	3.45180313030577e-14	0.933963574789715	1.01327124147686e-13
Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer	0.254166563081555	2.88991359938874e-13	0.30037866546002	6.83070487128248e-13
EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)/Homer	0.027787137016097	4.04158252404278e-14	0.0468264716382375	1.16756828472347e-13
EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)/Homer	0.622189781184206	6.2877742551493e-22	0.674038929616223	2.28874982887435e-20
ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)/Homer	0.986660334906571	7.80128662543512e-11	0.986660334906571	1.10064664017767e-10
ELF3(ETS)/PDAC-ELF3-ChIP-Seq(GSE64557)/Homer	0.0523318246215696	1.67513238698072e-11	0.0777501394377605	2.68611536943163e-11
ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)/Homer	0.226679718623235	2.46618771867386e-08	0.270529237963467	2.67967859581279e-08
Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)/Homer	0.967335527058203	1.90005646192803e-11	0.97267992223532	2.98112306957674e-11
Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)/Homer	0.800278346353339	1.59013776474724e-09	0.837072753082228	1.91658988863575e-09
Eomes(T-box)/H9-Eomes-ChIP-Seq(GSE26097)/Homer	0.345996300487124	3.40975519345447e-21	0.396046079802872	9.54731454167251e-20
ERE(NR),IR3/MCF7-ERa-ChIP-Seq(Unpublished)/Homer	0.287601970227954	2.32856360627011e-11	0.336614524639792	3.57635929401823e-11
ERG(ETS)/VCaP-ERG-ChIP-Seq(GSE14097)/Homer	0.407099116300134	1.855403275037e-17	0.457358266460644	1.43695062151801e-16
Erra(NR)/HepG2-Erra-ChIP-Seq(GSE31477)/Homer	0.00695211443651704	2.23322751032813e-12	0.0162216003518731	4.30103076063195e-12
Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431)/Homer	0.294160785584626	5.83331701347005e-09	0.341001675008929	6.59418445000962e-09
Ets1-distal(ETS)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	0.483661655563208	1.38755180824023e-13	0.535115023176316	3.50742262638502e-13
ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954)/Homer	0.795163202302411	6.19757683673398e-16	0.834119324605411	3.04853779536644e-15
ETS:E-box(ETS,bHLH)/HPC7-Scl-ChIP-Seq(GSE22178)/Homer	0.0810447433728175	3.36780312748616e-11	0.113900720415852	5.04477505516446e-11
ETS(ETS)/Promoter/Homer	0.935586233986443	2.34863761992924e-12	0.951056803071205	4.49949522975917e-12
ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)/Homer	0.012146775063459	1.2091597754924e-10	0.0252652921319948	1.67990136747799e-10
ETV1(ETS)/GIST48-ETV1-ChIP-Seq(GSE22441)/Homer	0.944714979870935	2.91015516470285e-13	0.955211812980612	6.83417083839895e-13
Etv2(ETS)/ES-ER71-ChIP-Seq(GSE59402)/Homer(0.967)	0.13928699416016	3.6206508552255e-16	0.181073092408209	1.96704016612251e-15
EWS:ERG-fusion(ETS)/CADO_ES1-EWS:ERG-ChIP-Seq(SRA014231)/Homer	0.151983751612902	2.88853240641545e-11	0.1935077563696	4.38094081639676e-11
EWS:FLI1-fusion(ETS)/SK_N_MC-EWS:FLI1-ChIP-Seq(SRA014231)/Homer	0.812433386779398	1.06419043849643e-12	0.844930722250574	2.23910589371503e-12
Fli1(ETS)/CD8-FLI-ChIP-Seq(GSE20898)/Homer	0.847769018330679	1.19981482322532e-13	0.874186749780076	3.09739429541857e-13
Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)/Homer	0.00214878438319346	2.10417875296671e-10	0.00610664698232207	2.79533235795577e-10
FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	1.85632834309077e-05	1.49848498683117e-12	0.000259885968032708	3.01352781882069e-12
FOXA1(Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer	7.11135542978747e-09	5.56574869067234e-25	1.8877603207172e-06	2.02593252340473e-22
FOXA1(Forkhead)/MCF7-FOXA1-ChIP-Seq(GSE26831)/Homer	2.33512871616778e-08	9.27099830531055e-24	2.83328950895025e-06	4.82091911876149e-22
Foxa2(Forkhead)/Liver-Foxa2-ChIP-Seq(GSE25694)/Homer	1.30229941774798e-07	6.92798839384668e-24	6.77195697228951e-06	4.20297962560032e-22
Foxa3(Forkhead)/Liver-Foxa3-ChIP-Seq(GSE77670)/Homer	1.03723094544901e-08	2.75064334814075e-24	1.8877603207172e-06	2.3211182752618e-22
Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2-ChIP-Seq(GSE47459)/Homer	0.000498753185845905	1.71663043895252e-15	0.00221397755668182	7.18222390550251e-15
Foxf1(Forkhead)/Lung-Foxf1-ChIP-Seq(GSE77951)/Homer	2.2185455711548e-07	2.7646082399264e-20	9.92970976636113e-06	4.57416999696913e-19
Foxh1(Forkhead)/hESC-FOXH1-ChIP-Seq(GSE29422)/Homer	1.57500177288034e-06	3.18834927920578e-24	4.09500460948889e-05	2.3211182752618e-22
FOXK1(Forkhead)/HEK293-FOXK1-ChIP-Seq(GSE51673)/Homer	3.81220658577849e-05	4.76038463249784e-17	0.000461313593175902	3.26939623816833e-16
FOXK2(Forkhead)/U2OS-FOXK2-ChIP-Seq(E-MTAB-2204)/Homer	4.31451736729023e-06	2.80495828853383e-19	8.26570695628233e-05	3.40334939008771e-18
FoxL2(Forkhead)/Ovary-FoxL2-ChIP-Seq(GSE60858)/Homer	1.1897684500895e-07	2.50566237679183e-21	6.77195697228951e-06	8.29146459229297e-20
FOXM1(Forkhead)/MCF7-FOXM1-ChIP-Seq(GSE72977)/Homer	4.4260593561392e-05	4.65182274803143e-22	0.000488207759283233	1.8814038669816e-20
Foxo1(Forkhead)/RAW-Foxo1-ChIP-Seq(Fan_et_al.)/Homer	0.0764854937879816	3.02554675413507e-21	0.109179293093433	9.17749182087639e-20
Foxo3(Forkhead)/U2OS-Foxo3-ChIP-Seq(E-MTAB-2701)/Homer	0.00220342568119803	1.67280499018626e-16	0.0061695919073545	9.66509549885396e-16
FOXP1(Forkhead)/H9-FOXP1-ChIP-Seq(GSE31006)/Homer	0.000137836254878087	2.34521221953158e-19	0.000983772485796545	2.94364568244654e-18
Fra1(bZIP)/BT549-Fra1-ChIP-Seq(GSE46166)/Homer	0.00494748771042558	2.86717283350276e-07	0.0123348323739378	3.00763951410665e-07
Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429)/Homer	0.00605759877453962	6.09491047865955e-07	0.0144115421825648	6.28483686751296e-07
FXR(NR),IR1/Liver-FXR-ChIP-Seq(Chong_et_al.)/Homer	0.00278700558496556	3.60652601706784e-05	0.00747014003406223	3.61646135044819e-05
GABPA(ETS)/Jurkat-GABPa-ChIP-Seq(GSE17954)/Homer	0.8263512846118	1.92371520147592e-12	0.855060606036869	3.76468996417868e-12
Gata1(Zf)/K562-GATA1-ChIP-Seq(GSE18829)/Homer	0.001200183973076	3.72864986131921e-09	0.00423700024706934	4.36407893736396e-09
Gata2(Zf)/K562-GATA2-ChIP-Seq(GSE18829)/Homer	0.000591705793882714	3.83524461017099e-10	0.00244751032924214	4.91559520458536e-10
GATA3(Zf),DR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	0.000349959117945492	5.07909087905888e-09	0.00181978741331656	5.79557705322079e-09
GATA3(Zf),DR8/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	0.00464857090438513	1.64929817005767e-12	0.011669515925491	3.2627420320706e-12
GATA3(Zf)/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	0.00274469857676974	1.52029648127694e-13	0.0074557483727178	3.76454366792386e-13
Gata4(Zf)/Heart-Gata4-ChIP-Seq(GSE35151)/Homer	5.61070782208624e-05	6.09803516927208e-14	0.000540962746060416	1.69441587909545e-13
Gata6(Zf)/HUG1N-GATA6-ChIP-Seq(GSE51936)/Homer	0.00386024434485695	3.55260307931728e-09	0.00989527423611219	4.17144361571449e-09
GATA:SCL(Zf,bHLH)/Ter119-SCL-ChIP-Seq(GSE18720)/Homer	0.106323221274489	8.52131396622562e-11	0.144950009527768	1.19759007092901e-10
GATA(Zf),IR3/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	4.77364046610456e-05	7.10209911423376e-11	0.000493207209292808	1.01378983434552e-10
GATA(Zf),IR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	0.00040069006249152	5.78218287761652e-11	0.00195575279865231	8.38531700180244e-11
Gfi1b(Zf)/HPC7-Gfi1b-ChIP-Seq(GSE22178)/Homer	0.0210731136671419	5.13703123767512e-12	0.0379733335388101	9.16607534565561e-12
GFX(?)/Promoter/Homer	0.360685345273357	1.70898821540405e-06	0.411565723133235	1.73763047599741e-06
GFY(?)/Promoter/Homer	0.1497391681463	1.13930366379024e-10	0.191919215511454	1.58891392191436e-10
GFY-Staf(?,Zf)/Promoter/Homer	0.553726011728421	7.13263727950198e-10	0.607097193581763	8.83088425081198e-10
GLI3(Zf)/Limb-GLI3-ChIP-Chip(GSE11077)/Homer	0.15921240668686	5.66540957564778e-16	0.200530505308017	2.90451983878281e-15
GRE(NR),IR3/A549-GR-ChIP-Seq(GSE32465)/Homer	0.00210688523483008	4.71375527927144e-15	0.00603863169667835	1.78729887672376e-14
GRE(NR),IR3/RAW264.7-GRE-ChIP-Seq(Unpublished)/Homer	2.75026717014631e-05	8.03356718144417e-16	0.000355456159653087	3.70154234689326e-15
GRHL2(CP2)/HBE-GRHL2-ChIP-Seq(GSE46194)/Homer	0.00014234890900361	1.36419327894879e-16	0.000996442363025267	8.00913473447355e-16
GSC(Homeobox)/FrogEmbryos-GSC-ChIP-Seq(DRA000576)/Homer	7.59550131041623e-06	1.90121026706124e-20	0.000125671021681432	3.46020268605146e-19
Hand2(bHLH)/Mesoderm-Hand2-ChIP-Seq(GSE61475)/Homer	0.0102187944823791	2.04975646777669e-15	0.0218830404882309	8.47853811671268e-15
HEB(bHLH)/mES-Heb-ChIP-Seq(GSE53233)/Homer	8.19555818827872e-05	1.53397642796419e-15	0.000693763530356617	6.49264441603448e-15
HIF-1a(bHLH)/MCF7-HIF1a-ChIP-Seq(GSE28352)/Homer	0.413103254611347	3.13243782797098e-11	0.462489108319794	4.71160069992329e-11
HIF-1b(HLH)/T47D-HIF1b-ChIP-Seq(GSE59937)/Homer	0.289053142623945	5.63885159707413e-12	0.337228666394602	9.91566174557963e-12
HIF2a(bHLH)/785_O-HIF2a-ChIP-Seq(GSE34871)/Homer	0.217860724723491	9.40252595345242e-14	0.261720474585316	2.48008655583817e-13
HLF(bZIP)/HSC-HLF.Flag-ChIP-Seq(GSE69817)/Homer	0.000226453299222733	1.10548811401604e-12	0.00135129509700122	2.30926762805235e-12
HNF1b(Homeobox)/PDAC-HNF1B-ChIP-Seq(GSE64557)/Homer	0.000154171551436359	5.92771966059407e-14	0.00102061148494021	1.65976150496634e-13
Hnf1(Homeobox)/Liver-Foxa2-Chip-Seq(GSE25694)/Homer	0.00044255787402681	1.89080852477351e-14	0.00206994696417561	5.83266358489456e-14
HNF4a(NR),DR1/HepG2-HNF4a-ChIP-Seq(GSE25021)/Homer	0.00999460636966367	1.3157493003535e-11	0.0218830404882309	2.15735470868772e-11
HNF6(Homeobox)/Liver-Hnf6-ChIP-Seq(ERP000394)/Homer	0.00945917991007088	1.54344702860823e-07	0.0209947651662549	1.63318232096917e-07
HOXA2(Homeobox)/mES-Hoxa2-ChIP-Seq(Donaldson_et_al.)/Homer	0.00158702953699869	8.85953906488267e-09	0.00493742522621814	9.86199455540456e-09
HOXA9(Homeobox)/HSC-Hoxa9-ChIP-Seq(GSE33509)/Homer	6.35932497673766e-05	5.10422064717071e-15	0.000565595749594452	1.91539826347437e-14
HOXB13(Homeobox)/ProstateTumor-HOXB13-ChIP-Seq(GSE56288)/Homer	0.000147601199036021	1.05253602081106e-09	0.00101371389526626	1.29433483640279e-09
Hoxb4(Homeobox)/ES-Hoxb4-ChIP-Seq(GSE34014)/Homer	0.000154213273823383	4.89445348439069e-09	0.00102061148494021	5.6201295530543e-09
Hoxc9(Homeobox)/Ainv15-Hoxc9-ChIP-Seq(GSE21812)/Homer	0.0019398591468478	3.88824124828698e-13	0.00574072137766341	8.84574883985288e-13
HOXD13(Homeobox)/Chicken-Hoxd13-ChIP-Seq(GSE38910)/Homer	0.000391442440861654	5.21766520514215e-14	0.00195575279865231	1.49545679895413e-13
HRE(HSF)/HepG2-HSF1-ChIP-Seq(GSE31477)/Homer	0.0432868886838025	2.87977915837015e-10	0.06676452322417	3.77064609225444e-10
HRE(HSF)/Striatum-HSF1-ChIP-Seq(GSE38000)/Homer	0.0254286096707596	1.3280062698926e-11	0.04407625676265	2.167687364309e-11
IRF1(IRF)/PBMC-IRF1-ChIP-Seq(GSE43036)/Homer	0.202032370013507	1.51983908615851e-10	0.249287398931921	2.06425905731977e-10
IRF2(IRF)/Erythroblas-IRF2-ChIP-Seq(GSE36985)/Homer	0.185800894045034	3.25634183525321e-10	0.231614813124631	4.24841730477479e-10
IRF3(IRF)/BMDM-Irf3-ChIP-Seq(GSE67343)/Homer	0.203359631131541	1.5090142760225e-13	0.250077384229328	3.76454366792386e-13
IRF4(IRF)/GM12878-IRF4-ChIP-Seq(GSE32465)/Homer	0.00599750855520898	8.24136675273803e-17	0.0143624546980005	5.17216809999421e-16
IRF8(IRF)/BMDM-IRF8-ChIP-Seq(GSE77884)/Homer	0.400395120900032	4.8774712826197e-11	0.45121926937341	7.18785241649219e-11
IRF:BATF(IRF:bZIP)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer	0.0172779259763151	1.29236597479496e-11	0.0323508677560218	2.12860278201522e-11
Isl1(Homeobox)/Neuron-Isl1-ChIP-Seq(GSE31456)/Homer	4.57120312431862e-08	6.43083237110877e-16	4.15979484312995e-06	3.09532348343538e-15
ISRE(IRF)/ThioMac-LPS-Expression(GSE23622)/Homer	0.73468954749875	3.45907826227738e-10	0.781950278624401	4.48079888778992e-10
Jun-AP1(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	0.000567324100960548	6.81356519692298e-09	0.00238875812737937	7.65474608543199e-09
JunB(bZIP)/DendriticCells-Junb-ChIP-Seq(GSE36099)/Homer	0.000689492226944576	4.0007299017676e-09	0.0027250989948724	4.65260601994699e-09
JunD(bZIP)/K562-JunD-ChIP-Seq/Homer	0.0927256641789698	1.09360750936854e-08	0.129318550808985	1.21363760186021e-08
KLF10(Zf)/HEK293-KLF10.GFP-ChIP-Seq(GSE58341)/Homer	0.00804514045936171	4.53000566174453e-19	0.0183026945450479	5.31910342217744e-18
KLF14(Zf)/HEK293-KLF14.GFP-ChIP-Seq(GSE58341)/Homer	0.807388456382316	1.93374558800488e-17	0.842089965968948	1.46642373757037e-16
KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)/Homer	0.576736125249652	9.46993396164108e-18	0.62853877123016	7.83421809553944e-17
Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)/Homer	0.57308632331738	8.29148882082118e-20	0.626436701764343	1.20724077231156e-18
KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)/Homer	0.279260290623351	1.51206153315675e-18	0.328966814844335	1.71033919644482e-17
KLF6(Zf)/PDAC-KLF6-ChIP-Seq(GSE64557)/Homer	0.653106963365933	1.42275526311445e-22	0.703345960547928	6.47353644717073e-21
Klf9(Zf)/GBM-Klf9-ChIP-Seq(GSE62211)/Homer	0.395495839313744	8.75413920907363e-18	0.447082253137276	7.77196749293366e-17
Lhx1(Homeobox)/EmbryoCarcinoma-Lhx1-ChIP-Seq(GSE70957)/Homer	0.00103370101130629	1.96179498855886e-14	0.0037626716811549	6.00078467088591e-14
Lhx2(Homeobox)/HFSC-Lhx2-ChIP-Seq(GSE48068)/Homer	0.000123502765816446	7.74730783230102e-18	0.000956489505472051	7.05005012739393e-17
Lhx3(Homeobox)/Neuron-Lhx3-ChIP-Seq(GSE31456)/Homer	0.00034134014190181	1.28470947222402e-14	0.00181978741331656	4.10205480604862e-14
LRF(Zf)/Erythroblasts-ZBTB7A-ChIP-Seq(GSE74977)/Homer	0.0034024899056969	1.57579854814183e-10	0.00897468351937442	2.13230732908411e-10
LXRE(NR),DR4/RAW-LXRb.biotin-ChIP-Seq(GSE21512)/Homer	0.00226565317860982	1.43112632082893e-09	0.00629540272529751	1.74224073840044e-09
MafA(bZIP)/Islet-MafA-ChIP-Seq(GSE30298)/Homer	0.0263700954068445	2.00263384258903e-10	0.0452769562645821	2.67999528934708e-10
MafB(bZIP)/BMM-Mafb-ChIP-Seq(GSE75722)/Homer	0.0019843365733151	6.55491176602326e-07	0.00577838810149357	6.74007876506346e-07
MafF(bZIP)/HepG2-MafF-ChIP-Seq(GSE31477)/Homer	2.33617546674728e-06	1.94290588013703e-13	5.00216394056476e-05	4.77849824574242e-13
MafK(bZIP)/C2C12-MafK-ChIP-Seq(GSE36030)/Homer	0.0300527210030864	2.44821062373134e-10	0.0497235929323792	3.24054060741166e-10
Max(bHLH)/K562-Max-ChIP-Seq(GSE31477)/Homer	0.000646650827613617	2.31802833601075e-14	0.00258660331045447	6.97324226700756e-14
Maz(Zf)/HepG2-Maz-ChIP-Seq(GSE31477)/Homer	0.651375497859178	1.86671894262711e-10	0.703345960547928	2.50732728825191e-10
